id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19389505,Downtown (10 min)-Private Bedr-Large & Sunny,62930331,Amine,,Ville-Marie,45.5227,-73.56416,Private room,23,10,2,2018-01-04,0.04,1,0,0,
19396568,Chambre lumineuse / Bright room,60821016,Nico,,Rosemont-La Petite-Patrie,45.54198,-73.60056,Private room,39,1,3,2017-07-01,0.06,1,0,0,
19402424,Maison familiale à Rosemont : 4 chambres,1319692,Marie-Michèle,,Rosemont-La Petite-Patrie,45.54963,-73.57922,Entire home/apt,190,2,2,2017-08-09,0.04,1,0,0,
19405343,Logement pour votre escapade à Montréal,136037461,Livia,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50038,-73.62144,Entire home/apt,45,2,6,2017-07-25,0.11,1,0,0,
19412047,Belle chambre - Proche du Mont-Royal,41091316,Eve,,Le Plateau-Mont-Royal,45.51648,-73.58409,Private room,36,3,14,2018-10-16,0.26,1,0,0,
19413577,Cosy bright large studio at heart of downtown MTL,76606229,Jin Sung (Aka. Jin Or JS),,Le Plateau-Mont-Royal,45.50918,-73.57194,Entire home/apt,45,1,0,,,1,0,0,
19414175,Sunny and cozy apartment in downtown!,51952138,Rachid,,Ville-Marie,45.51989,-73.55824,Entire home/apt,100,1,1,2017-07-02,0.02,1,0,0,
19426671,NEW: Mile-End Prime Suite #2,96593768,Carl,,Le Plateau-Mont-Royal,45.5261,-73.60875,Entire home/apt,243,4,45,2021-11-07,0.85,3,0,5,
19427490,Stunning flat in the hearth of Plateau Mont-Royal,35488867,Lynda/Jean,,Le Plateau-Mont-Royal,45.52562,-73.57574,Entire home/apt,600,3,25,2021-10-10,0.48,1,26,5,
19428862,"Spacious, clean, 3 bedroom apt near university",135947023,Ryoko,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50261,-73.62714,Entire home/apt,75,3,3,2017-07-28,0.06,1,0,0,
19430238,Nice 5 1/2 near Atwater Maket with large balcony,2470535,Valerie,,Le Sud-Ouest,45.47788,-73.58228,Entire home/apt,74,2,7,2018-03-18,0.13,2,196,0,
19430910,Cozy apartment in the heart of Plateau Mont-Royal,136224617,Serge And Gabrielle,,Le Plateau-Mont-Royal,45.53728,-73.57544,Entire home/apt,100,3,9,2019-09-04,0.17,1,0,0,
19434956,Charming apartment in heart of Little Italy,643165,Nika,,Rosemont-La Petite-Patrie,45.53361,-73.61052,Entire home/apt,80,15,4,2020-03-14,0.17,1,34,0,
19437779,The art of living at the Jean-Talon market,136276439,Diane,,Rosemont-La Petite-Patrie,45.54128,-73.6118,Entire home/apt,110,31,15,2019-10-06,0.28,1,229,0,
19438540,Luxurious Studio NDG,29006994,Karl,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4549,-73.64102,Entire home/apt,55,1,6,2017-08-11,0.11,1,0,0,
19438715,Joli Plateau,38555711,Marie-Kim,,Le Plateau-Mont-Royal,45.53693,-73.58286,Private room,51,1,0,,,1,0,0,
19440521,Warm room at golden square,136307431,Chu Yao,,Ville-Marie,45.49288,-73.58625,Private room,60,1,4,2017-08-20,0.07,1,0,0,
19440806,中国人在加拿大的房子。Chinese house in Canada,136310455,Mandy,,Ville-Marie,45.50837,-73.55519,Private room,41,1,0,,,1,0,0,
19440943,Room in Plateau Mont-Royal!,64992076,Francis,,Le Plateau-Mont-Royal,45.53327,-73.5742,Private room,25,60,9,2021-10-19,0.17,4,55,3,
19446064,Flat4Two on the Plateau,17784684,Paulo,,Le Plateau-Mont-Royal,45.53747,-73.57606,Entire home/apt,58,5,3,2019-01-01,0.06,2,0,0,
19452088,Spacious 3 bedroom apartment in Monkland Village,3734774,Joanna,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4733,-73.62863,Entire home/apt,159,2,47,2019-11-24,0.87,3,0,0,
19459264,"GORGEOUS DOWNTOWN CONDO WITH BALCONY,POOL &GARAGE",45643240,Cc,,Ville-Marie,45.49291,-73.57396,Entire home/apt,130,1,87,2021-09-26,1.61,6,236,9,
19460986,Room in Plateau Mont-Royal!,64992076,Francis,,Le Plateau-Mont-Royal,45.5333,-73.57257,Private room,24,95,3,2021-08-31,0.14,4,122,2,
19469971,Spacious room with desk in the Plateau calm street,1601567,Vi,,Le Plateau-Mont-Royal,45.53268,-73.5786,Private room,58,1,6,2017-10-08,0.11,1,0,0,
19470353,Saint-Henri: spacious and comfortable condo,37701272,Alexandre,,Le Sud-Ouest,45.47278,-73.58176,Entire home/apt,125,2,2,2017-09-28,0.04,1,0,0,
19473979,Private studio Villeray (Jean talon or Jarry),38392066,Nina,,Villeray-Saint-Michel-Parc-Extension,45.54692,-73.62036,Entire home/apt,23,5,1,2017-09-01,0.02,1,0,0,
19474112,Jolie chambre ensoleillée dans Villeray,131673311,Andréanne,,Villeray-Saint-Michel-Parc-Extension,45.55266,-73.61369,Private room,30,2,28,2019-08-23,0.52,2,0,0,
19475027,Small but cute  (apt 113),39844170,Kim,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49551,-73.6093,Entire home/apt,79,1,164,2021-11-28,3.03,20,342,34,
19476315,Cosy and well furnished apartment,136659365,Pierre,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49303,-73.62631,Entire home/apt,100,1,29,2018-09-01,0.54,1,0,0,
19486415,Belle appartement/Downtown Montreal,58608255,Arthur,,Ville-Marie,45.52158,-73.55956,Private room,30,4,1,2017-06-30,0.02,1,0,0,
19486654,Plateau entire place with garden,6348313,Jean-Pierre,,Le Plateau-Mont-Royal,45.52615,-73.57546,Entire home/apt,120,5,3,2019-08-19,0.06,1,98,0,
19497685,Single Room in the Heart of the Plateau,73750717,Mikaël,,Le Plateau-Mont-Royal,45.51948,-73.57815,Private room,23,40,12,2018-07-06,0.22,1,0,0,
19499241,Comfortable Room! Sweet Home! Enjoy!,111268310,Chia-Ying,,Mercier-Hochelaga-Maisonneuve,45.58067,-73.55215,Private room,35,1,8,2020-05-02,0.19,2,0,0,
19499897,The Historic 1800s Loft in Old Montreal,45984085,Ma,,Ville-Marie,45.50722,-73.55306,Entire home/apt,188,2,368,2021-11-28,6.87,2,58,60,
19501264,Grand appartement sur le plateau pour famille,136757714,Marc,,Le Plateau-Mont-Royal,45.53073,-73.58945,Entire home/apt,170,5,1,2017-08-08,0.02,1,0,0,
